filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,centroid_to_gauss_dist
range233_exp20_15.dng,central,603.190275314361,384.083325160911,4.10549104449138,4.15328696816035,9.72395716192325,602.775712645278,383.483287768484,0.729319599975281
range233_exp20_16.dng,central,603.256565634071,384.086648721668,4.08765230266263,4.15136553351459,9.70069135804089,602.733878138595,383.388832968331,0.871865266845663
range233_exp20_17.dng,central,603.172791407676,384.129997859954,4.11763591562933,4.1441131348169,9.72745528769875,602.704770202641,383.48271010021,0.798764854181608
range233_exp20_18.dng,central,603.193830811068,384.122873004605,4.0646036599615,4.1522398194942,9.67458307730943,602.767564312099,383.504797833129,0.750812923262772
range233_exp20_19.dng,central,603.220935575816,384.073202268464,4.0871002154088,4.15576095713196,9.70521653574887,602.797074446048,383.471378435896,0.736104736280995
range233_exp20_2.dng,central,603.231990255594,384.106450280274,4.1058064734712,4.15430232977279,9.7255240463571,602.748569106287,383.532208845448,0.750632555295308
range233_exp20_20.dng,central,603.216736297639,384.073379145953,4.12518586902713,4.16312288780834,9.75872691732321,602.832233710167,383.448931390437,0.733332966081384
range233_exp20_21.dng,central,603.218375725613,384.167334838363,4.1156823787511,4.09451549801332,9.66675848682084,602.803796716096,383.519615754931,0.769035607871563
range233_exp20_22.dng,central,603.239679842298,384.135693908049,4.10335631941786,4.17260619841167,9.74419034798804,602.776478999039,383.496641997155,0.789266980186891
range233_exp20_23.dng,central,603.240579421439,384.107369495175,4.08948194148322,4.14088013194394,9.69049998759162,602.7671054285,383.473263729407,0.791370800681462
range233_exp20_24.dng,central,603.241048512609,384.061876603523,4.09183653461966,4.20005943747892,9.76295053581683,602.811703938106,383.485956675994,0.718345687382109
range233_exp20_25.dng,central,603.195689361751,384.071895476583,4.13626774736873,4.19590223433742,9.81036950549528,602.711579395196,383.440784227512,0.795401702551898
range233_exp20_26.dng,central,603.173946333724,384.123199474356,4.09793547142113,4.22042642271855,9.79411174293298,602.706754618901,383.537714046123,0.749040242625634
range233_exp20_27.dng,central,603.173016058411,384.111008792417,4.02897258730082,4.20696070346178,9.69705958740487,602.747871080475,383.53527460586,0.715694142658245
range233_exp20_28.dng,central,603.228350887331,384.117057965722,4.06615381925796,4.15706987941628,9.68209520298586,602.751466570951,383.523159171253,0.761665562619209
range233_exp20_29.dng,central,603.214442119343,384.093074539633,4.08415231792926,4.18561739103245,9.7368988808908,602.755787081516,383.472189220415,0.771921643266686
range233_exp20_3.dng,central,603.15633886611,384.177539998811,4.12416299647645,4.16420939213284,9.7588018379279,602.686691226732,383.518289873768,0.809431672560088
range233_exp20_30.dng,central,603.185139576661,384.138288850519,4.10721132892356,4.11241327826275,9.67785760132168,602.730766992968,383.505311550047,0.779175659093789
range233_exp20_31.dng,central,603.188322930006,384.108831254398,4.06166569119701,4.16921722704227,9.6911132348097,602.72563431936,383.435518439316,0.816964440703395
range233_exp20_32.dng,central,603.223382436167,384.128367486543,4.07243981034988,4.15539065087422,9.68751924533466,602.73488246289,383.495741373951,0.799279689611621
range233_exp20_33.dng,central,603.235286311985,384.111904248044,4.07844793855007,4.18788619380685,9.73285380307416,602.811195714912,383.472327713949,0.767405354093029
range233_exp20_34.dng,central,603.208003766055,384.084348812979,4.08537941706606,4.17422769436048,9.72493335004174,602.798612691623,383.484614417611,0.726142132651497
range233_exp20_35.dng,central,603.22696345298,384.091213577667,4.09671156910782,4.14227117991008,9.70065004611394,602.789853895442,383.483723153729,0.748404556685098
range233_exp20_36.dng,central,603.195279132058,384.109148003599,4.10729581543629,4.18933210385009,9.76852197164865,602.746054093686,383.494774145509,0.761090252601667
range233_exp20_37.dng,central,603.180363816195,384.075787189657,4.09266178567137,4.11338164255514,9.66186700292914,602.774602767352,383.467667559138,0.731061908309041
range233_exp20_38.dng,central,603.184104121759,384.112152075788,4.13348932529408,4.17647127242878,9.78421998336072,602.786993370947,383.514658158377,0.717423117660628
range233_exp20_39.dng,central,603.198894324072,384.147862857744,4.06462635683386,4.16163363025245,9.68567015540678,602.780261542027,383.508211159098,0.764465631526142
range233_exp20_4.dng,central,603.217595717676,384.117302765088,4.08282806730165,4.20577967897339,9.7590789500934,602.855543038915,383.487754026579,0.726232577316824
range233_exp20_40.dng,central,603.236781487026,384.136500231292,4.10455492301962,4.15634729302911,9.72645821750362,602.78472154338,383.457961628959,0.815336021223069
range233_exp20_41.dng,central,603.202706455413,384.088233685158,4.08992582007287,4.14975535233567,9.70147237589698,602.751429343963,383.463845284146,0.770397239505042
range233_exp20_42.dng,central,603.239997510922,384.093349606754,4.07411865080055,4.11628642183467,9.64345426685369,602.798369214039,383.458329474119,0.773489574240662
range233_exp20_43.dng,central,603.190440474036,384.15711933939,4.13006447009666,4.09692911851677,9.68653390423412,602.756649455707,383.505120328116,0.783120270638176
range233_exp20_44.dng,central,603.210810009759,384.107226294218,4.12462342997474,4.1684020100288,9.76428038116524,602.780416436108,383.44685567288,0.788243608135343
range233_exp20_45.dng,central,603.22441652659,384.096930722958,4.08505355491932,4.13732637721929,9.68110174491802,602.800474471853,383.471030668075,0.755961470232823
range233_exp20_46.dng,central,603.257291601587,384.110332885642,4.08521029763655,4.19183065647737,9.74546010826191,602.779982164308,383.520454831983,0.758801961716001
range233_exp20_47.dng,central,603.208259971286,384.138590388812,4.10499224160797,4.15338169129863,9.72348139491201,602.806024053986,383.49260176377,0.760982941234492
range233_exp20_48.dng,central,603.251627625979,384.034156422538,4.13133173589598,4.1553874620778,9.75685535687518,602.786069341438,383.43428472067,0.759335614210061
range233_exp20_49.dng,central,603.219103420579,384.060119553362,4.10736545588373,4.19966709624327,9.78077247697434,602.738068894015,383.458063737524,0.77062664185165
range233_exp20_5.dng,central,603.213269006639,384.099295087737,4.1068628878617,4.17774212491676,9.75436609681272,602.767242210651,383.428782356983,0.805311880480269
range233_exp20_50.dng,central,603.244365908522,384.14329424253,4.07934055308404,4.16121791353894,9.70250530974587,602.836773286978,383.493719603809,0.766863062356434
range233_exp20_51.dng,central,603.227255859336,384.098634675247,4.11606996870097,4.13798786140432,9.71839957788264,602.771087784641,383.507226987025,0.746895150646162
range233_exp20_52.dng,central,603.197736551676,384.120609620031,4.10949741771358,4.15438795084845,9.72997060725455,602.771136025285,383.474900809081,0.773904307815102
range233_exp20_53.dng,central,603.197967330748,384.079304506809,4.06698916284237,4.1587087129996,9.68500832073198,602.751362956589,383.459221382282,0.764171805512705
range233_exp20_54.dng,central,603.193044079985,384.098869395035,4.11561765650598,4.18714350138195,9.77574330019556,602.740926349419,383.455786031716,0.786108551328276
range233_exp20_55.dng,central,603.221381290005,384.074751372695,4.08472526347977,4.18935602839841,9.74197537616838,602.813664712156,383.452307179871,0.744089766783944
range233_exp20_56.dng,central,603.141583626644,384.146828557245,4.11436762194555,4.15762722437477,9.73951877699666,602.774875798979,383.490868738731,0.751503768703707
range233_exp20_57.dng,central,603.237547009204,384.10601075737,4.11633283667955,4.13605539954032,9.71643378350061,602.800795104499,383.475467793847,0.767031065284224
range233_exp20_58.dng,central,603.205040108475,384.124238251371,4.1261535902473,4.17624169728839,9.77531252125628,602.806364589028,383.504489450808,0.736906198647624
range233_exp20_59.dng,central,603.188260622484,384.121172239992,4.12463377288676,4.16855501085012,9.76447270349952,602.760714652834,383.487184799197,0.764680084250578
range233_exp20_6.dng,central,603.197500099467,384.141542773526,4.10467667611873,4.12135150065247,9.68539721992281,602.770099732829,383.533310135658,0.743382818721762
range233_exp20_60.dng,central,603.196595087353,384.0736627718,4.11926006184676,4.17169053559126,9.76183744345775,602.745960169126,383.474224151339,0.749932323097092
range233_exp20_7.dng,central,603.190770306377,384.131646603462,4.09808315307949,4.16668317911755,9.73100786151117,602.736656199264,383.520545306075,0.761356958296636
range233_exp20_8.dng,central,603.189402479987,384.046947433461,4.11811466916085,4.18193720244324,9.77255336292843,602.710877812919,383.482400954017,0.740066608113647
range233_exp20_9.dng,central,603.236595910567,384.09662220402,4.05667457422361,4.13957936784294,9.65034077666285,602.778805001463,383.485489961319,0.763580470236524
